headline,url,publisher,date,stock
Amazon expands logistics network,https://news.example.com/0,CNBC,2024-06-17,GOOGL
Tesla stock surges after delivery numbers,https://news.example.com/1,CNBC,2024-05-10,AMZN
Google announces AI breakthrough,https://news.example.com/2,MarketWatch,2024-09-19,GOOGL
Apple faces supply chain issues,https://news.example.com/3,CNBC,2024-10-27,TSLA
Google ad revenue slows down,https://news.example.com/4,CNBC,2024-11-08,AMZN
Tesla cuts prices to boost demand,https://news.example.com/5,Yahoo Finance,2024-12-04,MSFT
Google ad revenue slows down,https://news.example.com/6,MarketWatch,2024-11-20,TSLA
Apple reports strong quarterly earnings,https://news.example.com/7,MarketWatch,2024-12-26,GOOGL
Tesla stock surges after delivery numbers,https://news.example.com/8,Bloomberg,2024-07-01,AAPL
Microsoft acquires AI startup,https://news.example.com/9,MarketWatch,2024-03-21,AAPL
Microsoft acquires AI startup,https://news.example.com/10,Yahoo Finance,2024-06-10,TSLA
Apple faces supply chain issues,https://news.example.com/11,Bloomberg,2024-11-21,GOOGL
Google announces AI breakthrough,https://news.example.com/12,Bloomberg,2024-04-07,TSLA
Microsoft cloud revenue exceeds expectations,https://news.example.com/13,Yahoo Finance,2024-12-20,GOOGL
Apple reports strong quarterly earnings,https://news.example.com/14,CNBC,2024-01-06,AMZN
Amazon faces regulatory pressure in EU,https://news.example.com/15,MarketWatch,2024-07-22,TSLA
Tesla cuts prices to boost demand,https://news.example.com/16,Yahoo Finance,2024-04-17,GOOGL
Microsoft acquires AI startup,https://news.example.com/17,Bloomberg,2024-12-23,GOOGL
Microsoft acquires AI startup,https://news.example.com/18,Reuters,2024-07-31,AAPL
Amazon expands logistics network,https://news.example.com/19,CNBC,2024-03-09,AMZN
Tesla stock surges after delivery numbers,https://news.example.com/20,MarketWatch,2024-09-13,AMZN
Microsoft cloud revenue exceeds expectations,https://news.example.com/21,MarketWatch,2024-03-21,TSLA
Amazon faces regulatory pressure in EU,https://news.example.com/22,Bloomberg,2024-07-17,AAPL
Apple faces supply chain issues,https://news.example.com/23,Yahoo Finance,2024-02-19,AMZN
Microsoft cloud revenue exceeds expectations,https://news.example.com/24,CNBC,2024-12-15,AAPL
Apple faces supply chain issues,https://news.example.com/25,MarketWatch,2024-12-04,AMZN
Apple reports strong quarterly earnings,https://news.example.com/26,Bloomberg,2024-07-17,TSLA
Apple faces supply chain issues,https://news.example.com/27,Bloomberg,2024-08-14,AMZN
Google announces AI breakthrough,https://news.example.com/28,CNBC,2024-01-25,GOOGL
Microsoft acquires AI startup,https://news.example.com/29,MarketWatch,2024-01-27,AAPL
Google announces AI breakthrough,https://news.example.com/30,Yahoo Finance,2024-04-10,GOOGL
Apple reports strong quarterly earnings,https://news.example.com/31,Reuters,2024-03-24,AMZN
Microsoft acquires AI startup,https://news.example.com/32,CNBC,2024-11-02,TSLA
Microsoft cloud revenue exceeds expectations,https://news.example.com/33,Bloomberg,2024-03-25,GOOGL
Amazon faces regulatory pressure in EU,https://news.example.com/34,Reuters,2024-08-16,AAPL
Apple faces supply chain issues,https://news.example.com/35,MarketWatch,2024-04-04,GOOGL
Apple faces supply chain issues,https://news.example.com/36,Yahoo Finance,2024-03-08,TSLA
