Date,Open,High,Low,Close,Volume
2024-01-02,374.25,376.50,372.10,375.80,23415200
2024-01-03,375.00,377.20,373.40,374.15,21632100
2024-01-04,372.50,374.80,370.60,372.90,25840300
2024-01-05,371.80,373.50,369.90,371.20,22105700
2024-01-08,372.00,375.60,371.30,375.40,23987400
2024-01-09,374.00,376.10,373.10,374.80,20541600
2024-01-10,375.20,378.40,374.50,377.60,24320800
2024-01-11,377.80,379.05,376.20,378.30,21087300
2024-01-12,378.00,380.10,377.40,379.90,18654200
2024-01-16,377.50,379.30,376.80,377.10,22340500
2024-01-17,375.90,377.40,374.20,376.50,23112700
2024-01-18,377.20,381.50,376.30,380.70,28754300
2024-01-19,381.00,383.90,380.20,383.50,30218100
2024-01-22,384.30,385.80,382.50,384.20,24531700
2024-01-23,383.80,386.40,383.10,385.60,23847200
