headline,url,publisher,date,stock
Apple faces supply chain issues,https://news.example.com/0,CNBC,2024-08-18,AAPL
Amazon expands logistics network,https://news.example.com/1,MarketWatch,2024-09-05,AAPL
Amazon faces regulatory pressure in EU,https://news.example.com/2,Bloomberg,2024-10-03,MSFT
Apple reports strong quarterly earnings,https://news.example.com/3,Bloomberg,2024-04-25,MSFT
Microsoft acquires AI startup,https://news.example.com/4,Bloomberg,2024-03-24,AAPL
Apple reports strong quarterly earnings,https://news.example.com/5,CNBC,2024-07-29,TSLA
Microsoft cloud revenue exceeds expectations,https://news.example.com/6,Bloomberg,2024-08-19,AAPL
Tesla cuts prices to boost demand,https://news.example.com/7,Bloomberg,2024-04-19,AMZN
Apple faces supply chain issues,https://news.example.com/8,Reuters,2024-04-09,AAPL
Microsoft cloud revenue exceeds expectations,https://news.example.com/9,MarketWatch,2024-03-05,MSFT
Apple reports strong quarterly earnings,https://news.example.com/10,Bloomberg,2024-12-16,GOOGL
Tesla stock surges after delivery numbers,https://news.example.com/11,MarketWatch,2024-06-09,AMZN
Amazon faces regulatory pressure in EU,https://news.example.com/12,Reuters,2024-09-09,TSLA
Google announces AI breakthrough,https://news.example.com/13,Yahoo Finance,2024-01-01,MSFT
Google ad revenue slows down,https://news.example.com/14,MarketWatch,2024-01-30,AMZN
Apple reports strong quarterly earnings,https://news.example.com/15,Yahoo Finance,2024-12-28,MSFT
Microsoft acquires AI startup,https://news.example.com/16,Bloomberg,2024-03-31,AMZN
Tesla cuts prices to boost demand,https://news.example.com/17,Yahoo Finance,2024-07-23,AAPL
Google ad revenue slows down,https://news.example.com/18,CNBC,2024-04-27,GOOGL
Google ad revenue slows down,https://news.example.com/19,CNBC,2024-04-22,MSFT
Tesla stock surges after delivery numbers,https://news.example.com/20,Yahoo Finance,2024-09-14,AAPL
Microsoft cloud revenue exceeds expectations,https://news.example.com/21,Bloomberg,2024-04-26,AAPL
Apple faces supply chain issues,https://news.example.com/22,Bloomberg,2024-06-23,AAPL
Tesla stock surges after delivery numbers,https://news.example.com/23,Reuters,2024-04-29,MSFT
Google announces AI breakthrough,https://news.example.com/24,MarketWatch,2024-02-24,TSLA
Apple reports strong quarterly earnings,https://news.example.com/25,Yahoo Finance,2024-03-09,TSLA
Tesla cuts prices to boost demand,https://news.example.com/26,Yahoo Finance,2024-02-19,MSFT
Tesla stock surges after delivery numbers,https://news.example.com/27,MarketWatch,2024-08-20,AAPL
Amazon faces regulatory pressure in EU,https://news.example.com/28,CNBC,2024-08-20,TSLA
Amazon expands logistics network,https://news.example.com/29,Reuters,2024-06-10,AAPL
Tesla cuts prices to boost demand,https://news.example.com/30,MarketWatch,2024-05-15,AAPL
Amazon faces regulatory pressure in EU,https://news.example.com/31,CNBC,2024-11-04,AAPL
Apple reports strong quarterly earnings,https://news.example.com/32,CNBC,2024-02-04,GOOGL
Google ad revenue slows down,https://news.example.com/33,Reuters,2024-05-11,AAPL
Apple reports strong quarterly earnings,https://news.example.com/34,Reuters,2024-05-10,AMZN
Apple faces supply chain issues,https://news.example.com/35,MarketWatch,2024-02-10,AMZN
Apple reports strong quarterly earnings,https://news.example.com/36,Reuters,2024-09-05,GOOGL
Microsoft cloud revenue exceeds expectations,https://news.example.com/37,CNBC,2024-04-29,MSFT
Microsoft cloud revenue exceeds expectations,https://news.example.com/38,MarketWatch,2024-05-24,AMZN
Apple reports strong quarterly earnings,https://news.example.com/39,MarketWatch,2024-05-11,MSFT
