Date,Open,High,Low,Close,Volume
2024-01-02,186.09,187.50,184.22,185.85,82488700
2024-01-03,184.22,185.88,183.43,184.25,58414500
2024-01-04,182.15,183.09,180.63,181.91,71983500
2024-01-05,181.99,182.75,180.17,181.18,62099900
2024-01-08,182.09,185.60,181.34,185.56,59144500
2024-01-09,183.92,185.15,182.73,185.14,42841800
2024-01-10,184.35,186.40,183.92,186.19,46741700
2024-01-11,186.54,187.05,183.72,185.59,49140500
2024-01-12,185.59,187.10,185.00,186.92,40552500
2024-01-16,183.86,185.32,183.37,183.63,65133400
2024-01-17,181.27,182.93,180.30,182.68,47713600
2024-01-18,183.16,184.90,182.26,188.63,74244900
2024-01-19,189.33,191.95,188.82,191.56,72208500
2024-01-22,192.30,192.80,189.39,191.83,53240300
2024-01-23,191.41,193.49,191.06,193.35,54156800
2024-01-24,193.68,194.40,191.73,194.17,53841300
2024-01-25,195.42,196.38,194.76,194.50,28082500
2024-01-26,,196.50,193.63,194.03,38987200
2024-01-29,194.85,196.06,193.75,196.10,28909500
2024-01-30,196.88,197.20,193.17,193.30,55479000
2024-01-31,191.72,192.20,189.98,191.01,56227900
2024-02-01,184.15,186.10,182.54,186.86,97152100
2024-02-02,184.35,186.74,183.54,185.04,52241700
2024-02-05,182.82,183.09,180.95,187.68,53117900
2024-02-06,186.44,187.20,185.51,186.08,43490000
2024-02-07,186.93,188.00,185.40,188.00,43734500
2024-02-08,187.85,188.65,186.80,188.32,34707700
2024-02-09,188.75,189.30,187.36,,29825400
2024-02-12,188.40,189.00,187.50,187.15,33167400
2024-02-13,185.77,186.22,183.76,184.15,54630500
